fast_compare/1.json,TL30_ls,jaya_ls,control,T1_ls
TL30_ls,0,191.666666666667,704.055555555556,299.811111111111
jaya_ls,191.666666666667,0,704.366666666667,304.122222222222
control,704.055555555556,704.366666666667,0,658.244444444444
T1_ls,299.811111111111,304.122222222222,658.244444444444,0
