complete percentages,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6,dataset 7,dataset 8,dataset 9,average
skate_oscillate,0.058420881632869,0.186366700796789,0.381468363739024,0.156405381985846,0.38972092556169,0.95656587297058,10.9865982239221,1.77836910417044,2.11079414596163,1.88941217786011
skate_diversify,0.03699925210717,0.193010854126346,0.370855691727513,0.201902588152876,0.425753931906609,0.934754879782218,10.9624228483938,1.85212725047805,2.13806157812355,1.90176543053312
skate_intensify,0.062244606140932,0.180996206284958,0.384466084366612,0.175000876236557,0.39221692692134,0.950943885821154,10.9741269887172,1.87620689611806,2.15661370359634,1.90586846380035
pogo_intensify,0.078749431493131,0.229897313572847,0.481627789029757,0.279098808277989,0.47051782768969,0.997861346719178,11.1024585495138,1.85698851947221,2.3507629047203,1.98310694338766
pogo_oscillate,0.09943459817763,0.238188076100775,0.524071689439875,0.273255138894638,0.48215117838832,1.05516586830093,11.1269486943044,2.02752831377307,2.34239573817359,2.01879325506147
pogo_diversify,0.076059162445953,0.261175017001849,0.617803577527798,0.330527175368684,0.533353168041172,1.25604069254768,11.0985870573952,2.34847090005539,2.67532607031141,2.13303809118834
control,6.28440559180568,6.53661239608595,6.40413267209666,7.01721513109431,5.93921506516489,5.88296307716072,15.0442647465392,9.83503731664858,7.51756022007214,7.82904513518535
