complete percentages,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6,dataset 7,dataset 8,dataset 9,average
GA2_ls,0.08879371884591,0.168886967884269,0.31656157995516,0.233947467177641,0.354185766434367,0.795609446235016,10.4502591291224,0.312318211368151,1.31918276725237,1.55997167269726
GA2,0.327438568500166,0.324859477088148,0.287923523221174,0.613331158632968,0.549860453512949,0.469542039422883,11.0306740323278,0.469714820410673,0.66041222156683,1.63708403274262
LBO_ls,0.156364941137427,0.204468654814499,0.340987176588084,0.403592075301735,0.381601759420859,0.793070826589221,11.1474140724119,0.510255457213059,1.30609330612599,1.69376091884475
TLBO_ls,0.124767577508909,0.2310678568387,0.463371163818967,0.419062068221473,0.443016648859569,0.79897104568248,11.016876361511,0.657877235421143,1.32414449431121,1.71990605024149
jaya_ls,0.354166694339639,0.334740678612087,0.381138008049851,0.693180594088406,0.544264088400417,0.816921031236235,11.6039356283843,0.850919421937691,1.17917769493277,1.86204931555349
LBO,0.510297079111764,0.549490143765775,0.486563437375402,0.926310600070183,0.818823430095319,0.733419976646015,11.7103711838189,0.813884828490131,0.722268540182269,1.91904769106175
TLBO,0.510765317768394,0.553279482748104,0.625696707529381,0.898762498926924,0.815427484152376,0.750788040843442,11.5599510748678,1.02125813645473,2.07963650600097,2.09061836103246
TBO_ls,0.369041556698154,0.532845684110932,0.97010632659201,0.76705070389641,0.70317515579834,1.17594854421243,12.0583427687649,1.41925065980488,1.6801698906795,2.18621458783973
jaya,1.33891852367512,1.15503709708737,1.05030365086704,2.16415446593318,1.83792835909137,1.50842191793943,12.6265070065986,3.4870980145064,2.15864018625371,3.03633435799469
TBO,2.267207818666,2.94555067441804,3.65588827873175,2.96032405986807,3.19976378583777,3.80191061279101,13.2325707417115,5.97263747336442,6.17362904924126,4.91216472162553
control,6.53538877216737,6.55732471914406,6.37332089091661,6.90213018955756,5.95382273085831,5.73276473817112,15.5870435666641,10.0185672223841,7.37637824193189,7.89297123019945
