complete percentages,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6,dataset 7,dataset 8,dataset 9,average
G2JG4TL\_ls,0.06,0.15,0.3,0.14,0.33,0.7,11.22,0.29,1.14,1.59
G2JG4TL,0.17,0.24,0.26,0.48,0.46,0.46,11.61,0.4,0.63,1.64
control,6.25,6.52,6.31,7.1,6.03,5.9,16.2,9.81,7.11,7.91
