complete percentages,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6,dataset 7,dataset 8,dataset 9,average
GA2_ls,0.091927723960878,0.433007589009175,1.4726984012221,0.300408648045233,0.835172277470271,2.24105510336729,10.775057856206,2.55934523344699,3.47101726021497,2.46441001032699
TLBO_ls,0.134250641822245,0.563688684192444,1.24806995910434,0.442473345936708,0.925664398149362,1.87445330892981,11.2612362595519,2.54427609204543,3.36535229934229,2.48438499878606
jaya_ls,0.304891324370069,0.490908205345976,1.39378130169725,0.773412591515244,0.832059591910857,2.21936698757003,11.787759726712,2.41505019546117,3.32743160750297,2.61607350356506
LBO_ls,0.171954785493216,0.459668941584311,1.6514130734255,0.396965679448831,0.872531927173705,2.49600143500063,11.2084169620998,2.59682407447254,3.93754643354857,2.64348036802745
GA2,0.28674260162737,0.333362003010603,0.430648706758145,0.64387937383082,0.671445958352717,0.875412049699331,11.0821580280354,3.82970200749032,6.17545401215809,2.70320052677365
TBO_ls,0.332867364794387,0.892324970524138,1.69654345125943,0.81224853478344,1.11115400893342,2.14769357985314,12.2877244799954,2.89796127914281,3.49714026565163,2.85285088165975
LBO,0.47796026348685,0.526520852516152,0.534473302446478,0.887483554201825,0.791031960097225,0.981719608020975,11.7042365858712,3.81992899542573,6.31394804697382,2.89303368544892
TLBO,0.528431732431247,0.5380830253271,0.96049462102618,0.899197441572088,0.945661570062977,2.00792465853486,11.3967239433779,6.74476235278775,6.72733525651536,3.41651273351505
jaya,1.5018710083377,1.30412413844152,1.02458094790954,2.26397554909507,1.88967844548413,1.65863142399969,12.7325655529559,4.71574909195588,5.75325536464794,3.64938128031415
TBO,2.19101201284193,2.9379961674857,4.01497081610848,2.83706883969309,3.30314036969903,4.37955545667479,13.3533706541691,8.29608842060925,6.94234382352535,5.36172739564519
control,6.50236222265151,6.66677555626576,6.33312488491636,6.72032033329955,5.75710493343652,5.77603870384438,15.6434525031619,10.1444238918858,7.36460678253261,7.87868997911049
