gigantic_search/5.json,GA2,GA30,T5_ls,TL1_ls,TL1,TL20_ls,jaya,GA20,T30_ls,GA10_ls,TL10,jaya_ls,GA5_ls,TL10_ls,GA2_ls,GA10,GA20_ls,GA5,T1_ls,LBO_ls,TL30_ls,TL5_ls,TL20,TL30,T10_ls,T20_ls,GA30_ls,TL5,LBO,G2JG4TL_ls,G2JG4TL
GA2,0,599.444444444444,845.7,694.5,672.055555555556,677.055555555556,826.122222222222,594.077777777778,787.1,611.977777777778,666.577777777778,699.733333333333,613.333333333333,683.4,662.8,595.288888888889,616.811111111111,597.277777777778,924.044444444444,662.466666666667,673.5,685.455555555556,659.722222222222,644.655555555556,831.744444444444,807.744444444444,607.533333333333,655.644444444444,616.2,635.488888888889,596.811111111111
GA30,599.444444444444,0,864.7,745.611111111111,666.411111111111,727.766666666667,831.544444444445,599.722222222222,811.455555555555,675.688888888889,648.177777777778,757.755555555556,674.2,734.777777777778,723.555555555556,604.977777777778,679.811111111111,595.766666666667,959.733333333333,728.333333333333,720.9,734.411111111111,655.188888888889,648.055555555556,852.122222222222,829.788888888889,669.6,637.511111111111,631.177777777778,702.888888888889,605.388888888889
T5_ls,845.7,864.7,0,820.111111111111,868.666666666667,814.377777777778,1012.46666666667,853.822222222222,820.288888888889,813.788888888889,859.522222222222,865.433333333333,814.744444444444,811.655555555556,836.033333333333,840.3,812.688888888889,848.8,931.811111111111,838.544444444445,805.866666666667,816.533333333333,860.111111111111,852.333333333333,838.777777777778,824.555555555556,813.9,857.344444444444,857.922222222222,826.188888888889,851.044444444445
TL1_ls,694.5,745.611111111111,820.111111111111,0,808.888888888889,642.511111111111,886.022222222222,744.733333333333,774.133333333333,586.544444444445,811.633333333333,651.1,586.722222222222,639.766666666667,612.766666666667,733.766666666667,588.488888888889,719.177777777778,864.122222222222,611.322222222222,636.177777777778,641.8,807.444444444445,801.777777777778,815.888888888889,793.155555555556,585.5,801.166666666667,730.811111111111,604.944444444444,719.311111111111
TL1,672.055555555556,666.411111111111,868.666666666667,808.888888888889,0,791.422222222222,885.333333333333,637.511111111111,816.066666666667,762.477777777778,610.188888888889,842.7,766.055555555556,794.255555555556,806.9,638.477777777778,763,665.377777777778,1005.43333333333,815.188888888889,784.177777777778,799.111111111111,613.977777777778,607.933333333333,855.755555555556,834.177777777778,761.966666666667,603.3,682.122222222222,788.033333333333,667.555555555556
TL20_ls,677.055555555556,727.766666666667,814.377777777778,642.511111111111,791.422222222222,0,872.133333333333,725.711111111111,765.377777777778,574.122222222222,797.144444444444,644.477777777778,574.211111111111,630.188888888889,601.455555555556,714.611111111111,574.644444444444,706.355555555556,860.011111111111,599.722222222222,625,632.911111111111,795.688888888889,782.622222222222,807.644444444444,786.022222222222,575.433333333333,783.455555555556,716.9,590.122222222222,702.866666666667
jaya,826.122222222222,831.544444444445,1012.46666666667,886.022222222222,885.333333333333,872.133333333333,0,844.444444444444,966.444444444445,826.966666666667,895.277777777778,880.677777777778,829.211111111111,876.366666666667,856.744444444444,828.811111111111,822.088888888889,842.111111111111,1069.16666666667,848.344444444444,870.177777777778,874.533333333333,885.488888888889,888.711111111111,1003.17777777778,982.244444444445,821.944444444445,884.411111111111,839.122222222222,848.211111111111,841.244444444444
GA20,594.077777777778,599.722222222222,853.822222222222,744.733333333333,637.511111111111,725.711111111111,844.444444444444,0,798.377777777778,679.833333333333,639.611111111111,765.055555555556,675.211111111111,727.077777777778,725.544444444444,598.766666666667,678.755555555556,594.311111111111,961.9,730.855555555556,717.066666666667,737.666666666667,638.577777777778,639.066666666667,838.666666666667,818.2,669.055555555556,636.544444444445,626.677777777778,710.477777777778,603.466666666667
T30_ls,787.1,811.455555555555,820.288888888889,774.133333333333,816.066666666667,765.377777777778,966.444444444445,798.377777777778,0,760.122222222222,814.788888888889,817.3,759.633333333333,767.055555555556,785.344444444444,787.255555555556,760.822222222222,790.355555555556,914.033333333333,789.588888888889,758.022222222222,766.8,813.022222222222,800.244444444444,813.311111111111,796.088888888889,758.122222222222,806.344444444444,805.544444444445,772.455555555556,793.977777777778
GA10_ls,611.977777777778,675.688888888889,813.788888888889,586.544444444445,762.477777777778,574.122222222222,826.966666666667,679.833333333333,760.122222222222,0,765.755555555556,565.244444444444,473.6,575.888888888889,512.377777777778,667.511111111111,476.3,645.011111111111,848.555555555556,514.577777777778,567.522222222222,580.633333333333,767.033333333333,757.144444444444,809.255555555556,782.9,471.311111111111,757.666666666667,661.711111111111,494.977777777778,639.011111111111
