complete percentages,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6,dataset 7,dataset 8,dataset 9,average
LBO_ls,0.199798916062456,0.24098745865198,0.459573524367229,0.45681947265597,0.455404581058829,1.02061591159485,11.3116219692745,1.26162662193615,1.79455090276508,1.91122215092967
GA5_ls,0.093629554047055,0.197699125621124,0.459376556500078,0.234487542780541,0.436169556452253,1.10658637152902,10.9512496228772,1.77135288351598,2.08361271764524,1.92601821455205
GA2_ls,0.078295319105953,0.228983130105216,0.516721800664386,0.262062043830955,0.497479845510312,1.20838602305724,11.0135929066841,1.82200674520124,2.2136467578034,1.98235273021809
TL30_ls,0.179002525203316,0.30919603412905,0.61780844229054,0.461956648002886,0.575529142693732,1.05324743210199,11.1683870332349,1.84484379464495,2.35389319272934,2.06265158278119
TL15_ls,0.165177363787736,0.292780206628144,0.598602501538355,0.443254649481837,0.529738995816377,1.04323110322451,11.1851814054954,1.89018755113702,2.50056170554022,2.07207949807218
TL1_ls,0.144565362192785,0.308122078723698,0.646730249884792,0.397836637193546,0.554628386788945,1.14096263571496,11.2229173568205,2.07626021219293,2.86724364692757,2.1510296184933
J30_ls,0.196015857789367,0.481911937304589,1.4480793028877,0.512610951422456,0.926469169339398,2.18949387264839,11.5314214906242,3.30387745681284,3.34504933194214,2.65943659675235
T30_v2,2.51568883170107,3.0128187225851,3.74836890963935,3.38957088654086,3.45186134747622,4.47615931153087,13.2585679023017,8.61018738458457,7.17629978487715,5.51550256458188
C30_ls_v2,1.77066423605482,4.84078369403198,6.00138484693283,2.03377657813827,4.22908070154969,5.38571771550424,12.9397717187707,6.73857300360808,5.76454364823986,5.52269957142561
J3_v2,3.61072948498789,3.9109307782618,4.18143210324575,5.28068947727205,5.17508048377784,5.554266370406,14.7533217695169,9.73138857435413,7.51756022007214,6.63504436243272
control,6.28440559180568,6.53661239608595,6.40413267209666,7.01721513109431,5.93921506516489,5.88296307716072,15.0442647465392,9.83503731664858,7.51756022007214,7.82904513518535
